,,N,N,N,O,,,,,W_A_13,,W_A_140,,W_M_19,O,O,C,,,,Proj. Loc. (State):,,,,US,,,,State/Terrain,Contractor,WA,,Q3 2023 Model,
,,T,T,T,R,,,,,W_A_81,,W_A_51,,W_M_20,D,D,H,,,This Estimated is in,US Dollars Base,At an exchange rate of,,,,,,Manual,USA,Soils,"4 - Hard Clays/Sands, Glacial till",,Steep Hills,
,,1,2,3,Y,,,W_A_106,W_A_142,W_A_82,,,,W_M_21,E,E,K,,,,,,,,,,,QTY's,500,1.254302,"3 - Dense Sands/Clays, Weathered Shales",,TOTAL,
,,=,=,=,,,,,,,,,,W_M_22,=,=,=,=,,SOW ITEM DESCRIPTION,,,,,,,,NEER,UoM,,UNIT RATES,,EST. $'S,





,312-02-03.3001,312-,02-,03.3001,,,,,,,,,,W_M_138,Civil,3,3,03.3001,,Permanent - Barb Wire Fencing ,,(5 strand w/ 10' T-Post spacing),,,C,,,5830,Lf.,,18.724795,,109165.554468,
,312-02-03.3002,312-,02-,03.3002,,,,,,,,,,W_M_139,Civil,3,3,03.3002,,Permanent - Chain Link Fencing ,,,,,C,,,0,Lf.,,22.291423,,0,
,312-02-03.3003,312-,02-,03.3003,,,,,,,,,,W_M_140,Civil,3,3,03.3003,,Temporary - Fencing ,"(for Excavation, Repairs, etc.)",Turtle/Lizards/Environmental,,,C,,,7950,Lf.,,7.133255,,56709.378944,
,312-02-03.3004,312-,02-,03.3004,,,,,,,,,,W_M_141,Civil,3,3,03.3004,,Permanent - Gates ,,,,,C,,,23.32,Ea.,,3744.958987,,87332.443574,
,312-02-03.3005,312-,02-,03.3005,,,,,,,,,,W_M_142,Civil,3,3,03.3005,,Cattle Guards,," 16' Opening, PIP Conc",,,C,,,23.32,Ea.,,6553.678227,,152831.776255,
,,Header,,3.4,,,,,,,,,,W_M_143,Civil,3,3,3.4,,CROSSINGS,,,,,C,,,,,,,,,
,312-02-03.4101,312-,02-,03.4101,,,,,,,,,,W_M_144,Pipe,3,3,03.4101,,Road: Pipeline Crossings,,,,,C,,,0,Ea.,,15158.167328,,0,
,312-02-03.4102,312-,02-,03.4102,,,,,,,,,,W_M_145,Wet,3,3,03.4102,,"Road: Through Creek, Rivers or Wetlands",,,,,C,,,11,Ea.,,30093.42043,,331027.624734,
,312-02-03.4103,312-,02-,03.4103,,,,,,,,,,W_M_146,Rail,3,3,03.4103,,Road: Over R.R. Tracks,,,,,C,,,0,Ea.,,50155.700717,,0,
,312-02-03.4104,312-,02-,03.4104,,,,,,,,,,W_M_147,Bridge,3,3,03.4104,,"Road: Existing Bridges (Inspection, Reinforcement, Improvement, etc.)",,,,,C,,,0,Ea.,,376279.212493,,0,
