,,W_A_196,13.2,Met Tower Installation,BOP,BOPENG,280722.376042,,,,"Step 9 Size: Nameplate increase by 28MW, add'l 10 Turbines ",,,,,,
,,W_A_197,14,Contractor G & A's,BOP,BOPG&A,4816973.481117,,,,"Step 10 SS, Interconnect: 230KV, jump up to 500KV, addition of 15 miles of Transmissioin ",,,,,,
,,,,,,,,,,,"Step 11 Array: Adder--8M road/offiste road, 7M foundation, 2M Erection, $M Escalation & Conntingency ",,,,,,
,,W_A_198,10,Gen Tie-Line Mtl's NEE Supplied,Tline,Tline,0,,,,Step 12 COD: Adder 7.8M Escalation/Contingency for addl year ,,,,,,
,,W_A_199,11,Gen Tie-Line Labor & Mtl's Contractor Supplied,Tline,Tline,0,,,,Step 13 True ups: Switch from BOT NEER to Energy ,,,,,,
,,W_A_200,SY-7,SwitchYard Mtl's NEE Supplied,Switch,Switch,0,,,Included:,Add notes for each step here ,,,,,,
,,W_A_201,9,SwitchYard Labor & Mtl's Contractor Supplied,Switch,Switch,0,,,,Do not Merge cells!!!,,,,,,
,,W_A_202,,WTG Mtl's & Shipping,,,,,,,,,,,,,
,,W_A_203,88.01,WTG Mtl's,WTGb,WTG,0,,,,,,,,,,
,,W_A_204,88.02,WTG Options and Support,WTGo,WTG,0,,,,,,,,,,
,,W_A_205,88.03,WTG Shipping,WTGs,WTG,0,,,,"$10k/WTG for break-in, section 12.6004",,,,,,
,,W_A_206,88.04,Storage Double Handling Re-shipping,Dubl,WTG,0,,,,$3500/WTG for blade coating in section 12.6004,,,,,,
,,W_A_207,,Other,,,,,,,$10k/WTG for climb assist in section 5.5 (99.3002),,,,,,
,,W_A_208,96,NEER M & A,BOP,BOPENG,2763798.024519,,,,$10k/WTG for WTG metering in section 5.5 SCADA (387.0000),,,,,,
,,W_A_209,97.1,Escalation,Esc,BOPESC,32214451.071165,,,,,,,,,,
,,W_A_210,97.2,Pricing Adjustments,Esc,BOPADJUST,0,,,,*NEE BOT specs is $4M + 10% increase for each added year in section 96.3999,,,,,,
,,W_A_211,97.21,Commodity Adjustment,Esc,BOPADJUSTC,0,,,,,,,,,,
,,W_A_212,97.3,Contingency,Cont,BOPCONT,23959233.798585,,,,,,,,,,
,,W_A_213,98,Risks,Cont,BOPENG,0,,,,,,,,,,
,,W_A_214,99,Development,DEV,DEV,0,,,,,,,,,,
,,W_A_215,,,,,,,,,,,,,,,
,,W_A_216,,Total Costs,,,277806124.845606,,,,,,,,,,
,,W_A_217,TOT,Check = (0),,,0,,,,,,,,,,
,,W_A_218,,Capex Estimate (For Project Managers),,$ / Kwe,929.366134,,,,,,,,,,
,,W_A_219,,,,,,,,,,,,,,,
,,W_A_220,,"BOP (Excl sub, switchyard, tee line)",BOP,,198690000,,,,,,,,,,
,,W_A_221,,NEER Substation (Material & Labor),Sub,,22940000,,,,,,,,,,
,,W_A_222,,Escalation and Pricing Adjustments,Esc,,32210000,,,,,,,,,,
,,W_A_223,,Contingency,Cont,,23960000,,,,,,,,,,
,,W_A_224,,,,,,,,,,,,,,,
,,W_A_225,,Subtotal E & C BOP,,,277800000,,,,,,,,,,
,,W_A_226,,,,,,,,,,,,,,,
,,W_A_227,,NEER Transmission Line,Tline,,0,,,,,,,,,,
,,W_A_228,,Interconnect Switchyard (Matl/Labor),Switch,,0,,,,,,,,,,
,,W_A_229,,WTG Base Costs,WTGb,,0,,,,,,,,,,
,,W_A_230,,WTG Options,WTGo,,0,,,,,,,,,,
,,W_A_231,,WTG Shipping,WTGs,,0,,,,,,,,,,
,,W_A_232,,WTG Storage & Dbl Handling,Dubl,,0,,,,,,,,,,
,,W_A_233,,,,,,,,,,,,,,,
,,W_A_234,,Total E & C Capex,,,277800000,,,,,,,,,,
,,W_A_235,,CapEx Summary Slide,,Check = (0),-10000,,,,,,,,,,
,,W_A_236,,"WTG, Shipping, Double Handling & Storage",,,0,,,,,,,,,,
,,W_A_237,,BOP,,,253840000,,,,,,,,,,
,,W_A_238,,Construction Contingency,,,23960000,,,,,,,,,,
,,W_A_239,,Transmission and Interconnect,,,0,,,,,,,,,,
,,W_A_240,,Total E&C,,,277800000,,,,,,,,,,
,,W_A_241,,,,Check = (0),-10000,,,,,,,,,,
,,W_A_242,,,,,,,,,,,,,,,
,,W_A_243,,Contractors,,,,,,,,,,,,,
,,W_A_244,97.11,"EPC Scope, Contractor",,,192731419.924349,,,,,,,,,,
,,W_A_245,97.12,Collection / Substation Yard Contractor,,,7101337.361676,,,,,,,,,,
,,W_A_246,,Transmission Line Contractor,,,0,,,,,,,,,,
,,W_A_247,,Switchyard Contractor,,,0,,,,,,,,,,
,,W_A_248,,"O&M Building, Contractor",,,1765748.76572,,,,,,,,,,
,,W_A_249,,,,,,,,,,,,,,,
,,W_A_250,,Check = (0),,,-1.3969838619232178E-9,,,,,,,,,,
,,W_A_251,,,,,,,,,,,,,,,
,,W_A_252,,,,,Ok,,,,,,,,,,
,,W_A_253,,,,,,,,,,,,,,,
,,W_A_254,,Metrics for BOP ,,,,,,,,,,,,,
,,W_A_255,,Civil & Roads $/kWe,,BOPCR,181,,,,,,,,,,
,,W_A_256,,Foundations $/kWe,,BOPF,126,,,,,,,,,,
,,W_A_257,,Collection System $/kWe,,BOPC,219,,,,,,,,,,
,,W_A_258,,WTG Erection $/kWe,,BOPWTG,63,,,,,,,,,,
,,W_A_259,,WTG Cranes $/kWe,,BOPCranes,37,,,,,,,,,,
,,W_A_260,,Contractors G & A $/kWe,,BOPG&A,16,,,,,,,,,,
,,W_A_261,,Substation & Transformer $/kWe,,BOPSUB,77,,,,,,,,,,
,,W_A_262,,"Eng, O&M, NEER M & A, Risks $/kWe",,BOPENG,23,,,,,,,,,,
,,W_A_263,,Project Price Reductions $/kWe,,BOPADJUST,0,,,,,,,,,,
