
,,W_ER_106,,BESS Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_112,W_ER_107,Req,BESS Technology,No,No,No,No,No,No,No,No,No,No,,Yes,,,,OMNI system,Early Stage,B116,Solar + Storage?,,,,,,,,,,
,,W_ER_113,Req,Contractual Power at POI - MW,150,150,150,150,150,20,150,20,150,20,,20,,,,OMNI system,Early Stage,B120,Project Contractual MWh,,,,,,,,,,
,,W_ER_118,Req,Energy Charge / Discharge Duration (Hours),4,4,4,4,4,4,4,4,4,4,,4,,,,OMNI system,Early Stage,B123,Hours/Project Duration (Hours),,,,,,,,,,
,,W_ER_207,Req,Minimum MWh Capacity (Initial),720,720,720,720,720,75,720,75,720,75,,75,,,,Calculation,Early Stage,B124,,,,,,,,,,,
,W_A_122,W_ER_208,Calc,Installed MWh Capacity (Initial),720.92,720.92,720.92,720.92,720.92,78.27,720.92,78.27,720.92,78.27,,78.3,,,,Calculation,Early Stage,B125,,,,,,,,,,,

,,W_ER_210,Req,Sum of Augmentations (MWh),288,288,288,288,288,50,288,50,288,50,,192,,,,OMNI system,Early Stage,,,,,,,,,,,,
,,W_ER_123,Req,Battery Provider,CATL 4.1,CATL 4.1,CATL 4.1,CATL 4.1,CATL 4.1,CATL 3.7,CATL 4.1,CATL 3.7,CATL 4.1,CATL 3.7,,CATL 4.1,,LOCK,,Calculation,Early Stage,B128,Battery Manufacturer,,,,,,,,,,
,,W_ER_108,Req,Interconnection Type,Utility Scale - Solar Project AC Connection,Utility Scale - Solar Project AC Connection,Utility Scale - Solar Project AC Connection,Utility Scale - Solar Project AC Connection,Utility Scale - Solar Project AC Connection,Utility Scale - Solar Project AC Connection,Utility Scale - Solar Project AC Connection,Utility Scale - Solar Project AC Connection,Utility Scale - Solar Project AC Connection,Utility Scale - Solar Project AC Connection,,Utility Scale - Solar Project AC Connection,,,,Default,Early Stage,NA,,,,,,,,,,,
,,W_ER_569,Req,Co-located with an NEE Project?,"Yes, Co-located, same construction time frame","Yes, Co-located, same construction time frame","Yes, Co-located, same construction time frame","Yes, Co-located, same construction time frame","Yes, Co-located, same construction time frame",0,"Yes, Co-located, same construction time frame",0,"Yes, Co-located, same construction time frame",0,,"Yes, Co-located, same construction time frame",,,,,,,,,,,,,,,,,
,W_A_135,W_ER_111,Calc,Installation Location Type,None,None,None,None,None,None,None,None,None,None,,Adj to Substation (Concurrent Build),,,,OMNI system,Early Stage,B139,Coupling (DC or AC)/Interconnection Type,,,,,,,,,,



,,W_ER_361,Calc,BESS Safe Harbor Strategy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Transformers,,,,,,,,,,,,,,,,,
,,W_ER_570,Req,BESS Inverter Manufacturer,PowerElectronics,PowerElectronics,PowerElectronics,PowerElectronics,PowerElectronics,0,PowerElectronics,0,PowerElectronics,0,,,,,,,,,,,,,,,,,,,

,,W_ER_572,Calc,BESS Inverter Name,PowerElectronicW_FP4200M,PowerElectronicW_FP4200M,PowerElectronicW_FP4200M,PowerElectronicW_FP4200M,PowerElectronicW_FP4200M,#N/A,PowerElectronicW_FP4200M,#N/A,PowerElectronicW_FP4200M,#N/A,,,,,,,,,,,,,,,,,,,
,,W_ER_129,Calc,Initial Containerization,Pre-Populated Cabinet,Pre-Populated Cabinet,Pre-Populated Cabinet,Pre-Populated Cabinet,Pre-Populated Cabinet,Pre-Populated Cabinet,Pre-Populated Cabinet,Pre-Populated Cabinet,Pre-Populated Cabinet,Pre-Populated Cabinet,,,,,,,,,,,,,,,,,,,
,,W_ER_222,Calc,Primary Container Size (Average # of Racks),10,10,10,10,10,0,10,0,10,0,,10,,,,Calculation,,B148,,,,,,,,,,,
,W_A_154,W_ER_131,Req,Do BESS and Solar need to discharge simultaneously?,No,No,No,No,No,No,No,No,No,No,,No,,,,OMNI system,Early Stage,B158,,,,,,,,,,,
,,W_ER_234,Calc,BESS Inverter Size (MVA),3.90,4.20,4.20,3.90,4.20,4.20,4.20,4.20,4.20,4.20,,3.35,,,,Calculation,,B161,,,,,,,,,,,
,,W_ER_235,Calc,# of BESS Inverters,45.443776,36,36,45.443776,36,6,36,6,36,6,,7,,,,Calculation,,B162,,,,,,,,,,,
,,W_ER_236,Calc,BESS Transformer Size (MVA),3.90,4.20,4.20,3.90,4.20,4.20,4.20,4.20,4.20,4.20,,3.35,,,,Calculation,,B163,,,,,,,,,,,
,,W_ER_133,Req,Aux Power Source,POI,POI,POI,POI,POI,POI,POI,POI,POI,POI,,POI,,,,OMNI system,Early Stage,B169,"BESS aux supply,
(Self Supply / External Fdr)",,,,,,,,,,
,,W_ER_134,Req,Aux Power Feeder Distance (Feet),0,0,0,0,0,0,0,0,0,0,,0,,,,OMNI system,Early Stage,,,,,,,,,,,,
,,W_ER_237,Req,Noise Reduction Required?,No,No,No,No,No,No,No,No,No,No,,No,,,,OMNI system,Early Stage,,,,,,,,,,,,
,,W_ER_132,Req,Microgrid / Black-Start Capability?,No,No,No,No,No,No,No,No,No,No,,No,,,,OMNI system,Early Stage,,,,,,,,,,,,
,,W_ER_197,,Safe Harbor Calculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_45,W_ER_62,Calc,Safe Harbor Modules?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Calculation,Early Stage,B48,,,,,,,,,,,
,W_A_479,W_ER_63,Calc,Safe Harbor Inverters?,No,No,No,No,No,No,No,No,No,No,,No,,,,Calculation,Early Stage,B483,,,,,,,,,,,
,,W_ER_360,Calc,Safe Harbor Transformer?,No,No,No,No,No,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,
,,W_ER_64,Calc,Anticipated Module Safe Harbor %,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,,0.14000000000000001,,,,Calculation,Early Stage,NA,% of Solar Modules for SH (standard assumption is 10%),,,,,,,,,,
,,W_ER_61,Calc,Module Safe Harbor Amount,15092000,5821200,5821200,15092000,5821200,5821200,5821200,5821200,5821200,5821200,,7546000,,,,Calculation,Early Stage,NA,Panel Safe Harbor Amount,,,,,,,,,,
,,W_ER_60,Calc,Anticipated Secondary Module Cost,15092000,5821200,5821200,15092000,5821200,5821200,5821200,5821200,5821200,5821200,,7546000,,,,Calculation,Early Stage,NA,,,,,,,,,,,
,,W_ER_65,Calc,Inverter Supply Price,245000,245000,245000,245000,245000,245000,245000,245000,245000,245000,,245000,,LOCK,,Calculation,Early Stage,NA,,,,,,,,,,,
,,W_ER_66,Calc,Inverter Safe Harbor Amount,0,0,0,0,0,0,0,0,0,0,,0,,LOCK,,Calculation,Early Stage,NA,,,,,,,,,,,
,W_A_767,W_ER_72,Calc,Total MW of SH Modules (MWdc),39.20,15.12,15.12,39.20,15.12,15.12,15.12,15.12,15.12,15.12,,19.60,,,,Calculation,Early Stage,NA,,,,,,,,,,,
,W_A_46,W_ER_73,Calc,Total Anticipated Safe Harbor %,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14000000000000001,,0.14000000000000001,,,,Calculation,Early Stage,B49,,,,,,,,,,,
,W_A_33,W_ER_41,,Modules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,W_ER_42,Calc,Last Modules Delivered,09-17-26,05-01-27,09-02-26,09-17-26,07-02-26,07-02-26,05-01-27,05-01-27,05-01-27,05-01-27,,10-02-25,,,,Calculation,Early Stage,NA,,,,,,,,,,,
,,W_ER_43,Calc,Module Delivery in Year 1 ,2024,2025,2024,2024,2024,2024,2025,2025,2025,2025,,2023,,,,Calculation,Early Stage,NA,,,,,,,,,,,
,,W_ER_44,Calc,Module Delivery in Year 1 (%),0,0,0,0,0,0,0,0,0,0,,0,,,,Calculation,Early Stage,NA,,,,,,,,,,,
,,W_ER_45,Calc,Module Delivery in Year 2 ,2025,2026,2025,2025,2025,2025,2026,2026,2026,2026,,2024,,,,Calculation,Early Stage,NA,,,,,,,,,,,
