
,,,B_A_7,ASSUMP_UID_COLUMNS,,,,,,B_M_1,,,,,,,,,,,,,,Project Name:,,Red Pricing Project Name,,,,,,,BESSPower OMNI,,,,,,,BESSPower,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,,Vulcan Solar,,,,,,
,-,,,,,,,,,B_M_32,,,-,,-,,-,-,-,-,-,,,,,-,-,,,,,,-,-,,,,,,-,-,,,,,,-,-,,,,,,-,-,,,,,,-,-,,,,,,-,-,,,,,
,,,,,,,,,,B_M_33,Eng,1,1,,1.1,,CIVIL & PHYSICAL ENGINEERING:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,303-01-00~~303-01-01.9999,303-01-01.9999,,,,,,,,B_M_34,Eng,1,1,,1.11,,Geotechnical Engineering,,,,NEER,C,,,,1,Ea.,,90000,,90000,,1,Ea.,,90000,,90000,,1,Ea.,,90000,,90000,,1,Ea.,,110000,,110000,,1,Ea.,,110000,,110000,,1,Ea.,,110000,,110000,,1,Ea.,,110000,,110000,
,502-02-00~~502-02-01.6001,502-02-01.6001,,,,,,,,B_M_35,Eng,1,1,,1.12,,Development of NEER's SPCC Package,,,,NEER,C,,,,1,Lt.,,23100,,23100,,1,Lt.,,23100,,23100,,0,Lt.,,21000,,0,,0,Lt.,,21000,,0,,0,Lt.,,21000,,0,,0,Lt.,,21000,,0,,0,Lt.,,21000,,0,
,502-02-00~~502-02-01.6001,502-02-01.6001,,,,,,,,B_M_36,Eng,1,1,,1.13,,Development of NEER's SWPPP Package,,,,NEER,C,,,,1,Lt.,,13200,,13200,,1,Lt.,,13200,,13200,,0,Lt.,,12000,,0,,0,Lt.,,12000,,0,,0,Lt.,,12000,,0,,0,Lt.,,12000,,0,,0,Lt.,,12000,,0,
,502-02-00~~502-02-01.6001,502-02-01.6001,,,,,,,,B_M_37,Eng,1,1,,1.14,,Detailed Design & Layout.,,,,EPC,C,,,,1,Lt.,,177781.286646,,177781.286646,,1,Lt.,,177781.286646,,177781.286646,,1,Lt.,,156229.752641,,156229.752641,,1,Lt.,,511599.109527,,511599.109527,,1,Lt.,,255001.349525,,255001.349525,,1,Lt.,,408896.480658,,408896.480658,,1,Lt.,,511339.682171,,511339.682171,
,502-02-00~~502-02-01.6001,502-02-01.6001,,,,,,,,B_M_38,Eng,1,1,,1.15,,Final Road - As Builts,,,,EPC,C,,,,0,Lt.,,20847.319744,,0,,0,Lt.,,20847.319744,,0,,0,Lt.,,12993.076616,,0,,0,Lt.,,272625.049007,,0,,0,Lt.,,32789.954348,,0,,0,Lt.,,132498.182875,,0,,0,Lt.,,272357.375911,,0,
,502-02-00~~502-02-01.6001,502-02-01.6001,,,,,,,,B_M_39,Eng,1,1,,1.16,,Mapping & Locating of Underground Lines/Utilities,,,,EPC,C,,,,1,Lt.,,47304.256842,,47304.256842,,1,Lt.,,47304.256842,,47304.256842,,0,Lt.,,31307.812484,,0,,0,Lt.,,199784.807471,,0,,0,Lt.,,62601.339256,,0,,0,Lt.,,137520.818127,,0,,0,Lt.,,199615.987516,,0,
,,,,,,,,,,B_M_40,Eng,1,1,,1.2,,ELECTRICAL ENGR.:,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,502-02-00~~502-02-01.6002,502-02-01.6002,,,,,,,,B_M_41,Eng,1,1,L,1.21,,Collection System: Detailed Design & Layout,,,,EPC,C,,,,605.852,MWh,,727.312566,,440643.77288,,605.852,MWh,,727.312566,,440643.77288,,594.57955,MWh,,523.528847,,311279.546095,,4423.279,MWh,,339.491946,,1501667.594932,,1386.855,MWh,,428.12652,,593749.40514,,3042.532,MWh,,365.8738,,1113182.745164,,4419.205,MWh,,339.554517,,1500561.020834,
,502-02-00~~502-02-01.6002,502-02-01.6002,,,,,,,,B_M_42,Eng,1,1,L,1.22,,Collection System: Sub-surface Soil Investigation.,,,,EPC,C,,,,0,Lt.,,38500,,0,,0,Lt.,,38500,,0,,0,Lt.,,35000,,0,,0,Lt.,,35000,,0,,0,Lt.,,35000,,0,,0,Lt.,,35000,,0,,0,Lt.,,35000,,0,
,,,,,,,,,,B_M_43,Eng,1,1,,1.3,,SUBSTATION ENGR.:,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,502-01-00~~502-01-01.3001,502-01-01.3001,,,,,,,,B_M_44,Eng,1,1,,1.31,,Substation: Detailed Design & Layout,,,,EPC,C,,,,1,Ea.,,82500,,82500,,1,Ea.,,82500,,82500,,0,Ea.,,75000,,0,,0,Ea.,,75000,,0,,0,Ea.,,75000,,0,,0,Ea.,,75000,,0,,0,Ea.,,75000,,0,
,502-01-00~~502-01-01.3002,502-01-01.3002,,,,,,,,B_M_45,Eng,1,1,,1.32,,Substation: Sub-surface Soil Investigation:,,,,EPC,C,,,,1,Lt.,,11000,,11000,,1,Lt.,,11000,,11000,,0,Lt.,,10000,,0,,0,Lt.,,10000,,0,,0,Lt.,,10000,,0,,0,Lt.,,10000,,0,,0,Lt.,,10000,,0,
,502-01-00~~502-01-01.3003,502-01-01.3003,,,,,,,,B_M_46,Eng,1,1,,1.33,,Harmonics: Study and Engineering,,,,EPC,C,,,,0,Lt.,,27500,,0,,0,Lt.,,27500,,0,,0,Lt.,,25000,,0,,0,Lt.,,25000,,0,,0,Lt.,,25000,,0,,0,Lt.,,25000,,0,,0,Lt.,,25000,,0,
,502-02-00~~502-02-01.6002,502-02-01.6002,,,,,,,,B_M_47,Eng,1,1,,1.34,,Black-Start Study,,,,EPC,C,,,,0,Lt.,,71500,,0,,0,Lt.,,71500,,0,,0,Lt.,,65000,,0,,0,Lt.,,65000,,0,,0,Lt.,,65000,,0,,0,Lt.,,65000,,0,,0,Lt.,,65000,,0,
,,,,,,,,,,B_M_48,Tline,1,1,,1.4,,MAIN T-LINE ENGR.:,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,502-01-00~~502-01-01.4001,502-01-01.4001,,,,,,,,B_M_49,Tline,1,1,,1.41,,T-Line: Engineering and Design,,,,EPC,C,,,,,Lt.,,,,0,,,Lt.,,,,0,,,Lt.,,,,0,,,Lt.,,,,0,,,Lt.,,,,0,,,Lt.,,,,0,,,Lt.,,,,0,
